review_id,order_id,product_id,rating,review_text,review_date
1,14,190,2,친구한테 선물했는데 좋아합니다.,2023-07-12 19:18:03
2,15,102,3,포장 상태가 아쉬웠습니다.,2023-12-16 09:18:29
3,17,180,3,배송이 너무 늦었어요.,2023-02-07 14:27:04
4,19,73,1,배송이 빨라서 좋았어요.,2023-05-28 14:21:58
5,24,118,3,배송이 너무 늦었어요.,2023-05-16 03:35:46
6,41,45,2,친구한테 선물했는데 좋아합니다.,2023-03-15 09:44:07
7,49,13,1,친구한테 선물했는데 좋아합니다.,2023-07-24 17:45:40
8,50,28,3,친구한테 선물했는데 좋아합니다.,2023-01-06 23:59:55
9,73,157,1,재구매 의사 있습니다!,2023-07-09 08:34:51
10,75,52,1,가성비 괜찮네요.,2022-11-12 07:51:38
11,76,40,3,가성비 괜찮네요.,2023-09-11 16:04:10
12,80,189,5,재구매 의사 있습니다!,2023-08-05 02:13:37
13,91,45,4,품질이 생각보다 별로였어요.,2023-07-12 12:46:44
14,112,9,4,배송이 빨라서 좋았어요.,2023-11-24 11:08:35
15,152,26,2,품질이 생각보다 별로였어요.,2024-01-23 21:59:35
16,157,173,1,배송이 빨라서 좋았어요.,2022-04-14 06:36:12
17,163,96,4,배송이 너무 늦었어요.,2022-11-17 21:36:11
18,183,126,2,품질이 생각보다 별로였어요.,2023-05-20 18:50:39
19,185,158,3,배송이 빨라서 좋았어요.,2023-05-07 16:35:11
20,186,55,2,배송이 너무 늦었어요.,2023-02-23 09:56:51
21,196,67,5,친구한테 선물했는데 좋아합니다.,2023-03-11 16:28:01
22,207,49,3,가격 대비 만족합니다.,2023-02-28 19:24:04
23,215,26,2,가성비 괜찮네요.,2022-10-24 13:10:00
24,226,73,3,배송이 너무 늦었어요.,2022-02-28 01:23:05
25,232,148,4,포장 상태가 아쉬웠습니다.,2022-07-08 19:59:55
26,236,11,5,가성비 괜찮네요.,2022-02-28 14:21:48
27,244,97,4,친구한테 선물했는데 좋아합니다.,2023-05-19 00:48:13
28,250,148,2,포장 상태가 아쉬웠습니다.,2022-11-06 20:46:31
29,268,57,4,친구한테 선물했는데 좋아합니다.,2023-04-13 07:47:08
30,272,58,1,가성비 괜찮네요.,2022-11-13 00:55:35
31,290,25,5,가격 대비 만족합니다.,2023-12-11 05:05:16
32,300,180,1,품질이 생각보다 별로였어요.,2023-07-16 22:14:07
33,304,30,5,포장 상태가 아쉬웠습니다.,2023-06-20 18:10:23
34,312,43,2,배송이 너무 늦었어요.,2023-07-02 08:18:38
35,316,116,1,가성비 괜찮네요.,2022-12-12 01:40:05
36,344,6,1,친구한테 선물했는데 좋아합니다.,2022-12-26 05:50:57
37,354,96,3,포장 상태가 아쉬웠습니다.,2022-03-09 18:00:01
38,355,192,5,가성비 괜찮네요.,2023-06-29 20:00:11
39,360,25,3,친구한테 선물했는데 좋아합니다.,2023-05-27 23:27:09
40,363,155,3,친구한테 선물했는데 좋아합니다.,2023-03-13 06:30:33
41,370,134,5,가격 대비 만족합니다.,2023-09-20 08:18:46
42,395,183,3,배송이 너무 늦었어요.,2022-10-26 19:33:40
43,396,65,3,가격 대비 만족합니다.,2022-08-22 05:20:03
44,398,51,3,품질이 생각보다 별로였어요.,2023-06-06 02:25:21
45,401,86,5,품질이 생각보다 별로였어요.,2023-04-03 01:33:52
46,411,160,4,가성비 괜찮네요.,2023-08-08 20:15:27
47,417,157,1,배송이 빨라서 좋았어요.,2023-10-22 13:40:28
48,420,36,1,가성비 괜찮네요.,2023-02-14 18:21:48
49,422,159,2,가격 대비 만족합니다.,2023-09-02 10:30:01
50,437,192,2,배송이 너무 늦었어요.,2022-02-02 20:02:29
51,440,42,2,품질이 생각보다 별로였어요.,2022-02-06 17:17:13
52,450,120,3,배송이 너무 늦었어요.,2022-11-05 03:34:39
53,457,34,1,품질이 생각보다 별로였어요.,2023-04-11 00:39:34
54,480,58,2,가격 대비 만족합니다.,2022-11-05 03:38:42
55,485,6,4,가격 대비 만족합니다.,2022-06-10 18:48:38
56,489,4,2,품질이 생각보다 별로였어요.,2023-05-28 10:16:48
57,490,107,1,포장 상태가 아쉬웠습니다.,2023-03-15 17:07:39
58,493,92,3,품질이 생각보다 별로였어요.,2023-08-06 02:33:41
59,494,24,5,배송이 빨라서 좋았어요.,2023-12-27 06:41:18
60,507,138,4,재구매 의사 있습니다!,2023-08-30 17:47:55
61,514,188,1,배송이 너무 늦었어요.,2022-07-31 19:38:12
62,517,93,3,배송이 너무 늦었어요.,2023-06-24 05:18:45
63,518,121,4,포장 상태가 아쉬웠습니다.,2023-12-01 10:58:52
64,532,77,5,가성비 괜찮네요.,2022-09-05 19:21:54
65,550,130,2,재구매 의사 있습니다!,2023-10-12 23:28:52
66,584,39,4,친구한테 선물했는데 좋아합니다.,2023-11-10 09:17:43
67,590,163,3,품질이 생각보다 별로였어요.,2023-09-09 20:07:03
68,611,174,3,친구한테 선물했는데 좋아합니다.,2023-07-19 14:57:59
69,613,125,4,재구매 의사 있습니다!,2022-04-30 04:31:55
70,622,93,4,배송이 빨라서 좋았어요.,2022-05-24 06:48:17
71,648,40,3,배송이 빨라서 좋았어요.,2024-01-14 23:22:08
72,651,181,5,품질이 생각보다 별로였어요.,2022-05-03 13:27:50
73,661,130,1,친구한테 선물했는데 좋아합니다.,2024-01-11 23:40:58
74,671,108,2,품질이 생각보다 별로였어요.,2022-06-15 16:39:28
75,675,16,4,가성비 괜찮네요.,2023-07-10 13:49:48
76,677,26,1,배송이 빨라서 좋았어요.,2023-12-18 17:28:19
77,680,28,4,가격 대비 만족합니다.,2022-07-19 19:57:57
78,683,1,4,품질이 생각보다 별로였어요.,2023-12-22 19:24:23
79,684,98,5,배송이 너무 늦었어요.,2022-05-09 18:55:43
80,687,52,1,가성비 괜찮네요.,2023-11-02 08:40:05
81,691,112,4,재구매 의사 있습니다!,2022-03-09 05:55:51
82,713,22,5,포장 상태가 아쉬웠습니다.,2022-09-19 11:03:40
83,717,159,5,배송이 빨라서 좋았어요.,2023-09-09 21:13:13
84,720,28,2,품질이 생각보다 별로였어요.,2023-10-10 20:18:04
85,745,196,4,배송이 너무 늦었어요.,2023-11-09 06:02:59
86,751,102,5,배송이 빨라서 좋았어요.,2022-10-10 15:43:16
87,757,139,1,재구매 의사 있습니다!,2022-09-18 20:33:56
88,759,67,3,배송이 빨라서 좋았어요.,2023-03-27 02:44:33
89,761,152,4,배송이 너무 늦었어요.,2023-11-15 04:37:48
90,763,113,4,재구매 의사 있습니다!,2022-06-01 01:52:21
91,773,94,3,품질이 생각보다 별로였어요.,2023-12-19 02:06:27
92,781,26,3,배송이 빨라서 좋았어요.,2022-05-27 16:01:45
93,792,164,2,가성비 괜찮네요.,2022-03-29 06:43:10
94,805,31,4,가격 대비 만족합니다.,2023-11-02 02:51:45
95,814,35,3,가성비 괜찮네요.,2023-03-07 20:48:51
96,824,46,5,친구한테 선물했는데 좋아합니다.,2023-07-05 05:41:18
97,840,120,1,배송이 빨라서 좋았어요.,2022-07-09 13:41:02
98,863,58,1,배송이 빨라서 좋았어요.,2023-07-09 00:27:07
99,864,76,1,배송이 너무 늦었어요.,2023-05-06 02:36:11
100,865,71,2,품질이 생각보다 별로였어요.,2022-08-28 13:02:06
101,886,154,4,가격 대비 만족합니다.,2022-06-30 02:37:01
102,892,160,1,가성비 괜찮네요.,2022-01-14 08:25:22
103,904,45,3,배송이 빨라서 좋았어요.,2022-06-05 01:41:57
104,905,62,3,가격 대비 만족합니다.,2023-09-22 12:08:10
105,909,33,3,품질이 생각보다 별로였어요.,2023-10-04 17:02:07
106,940,183,5,가격 대비 만족합니다.,2022-06-21 06:37:34
107,947,174,3,친구한테 선물했는데 좋아합니다.,2022-05-14 09:05:24
108,951,193,5,배송이 너무 늦었어요.,2022-02-10 20:46:07
109,958,6,5,배송이 너무 늦었어요.,2023-12-02 06:24:54
